,country,date_start,domestic_policy,pol_ongoing,pol_duration,30d_av_death_per_100kpop,voluntary_comply,national_pol,Closure_and_Regulation_of_Schools,External_Border_Restrictions,Health_Resources,Hygiene,Internal_Border_Restrictions,Restriction_and_Regulation_of_Businesses,Restriction_and_Regulation_of_Government_Services,Restrictions_of_Mass_Gatherings,Social_Distancing,health_testing_n_monitoring,new_taskforce_n_declare_emergency,public_awareness_anti_disinfo,quarantine_lockdown_curfew,target_residents,target_travelers
0,Australia,2020-01-21,0,1,314,0.07375426421786062,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,Australia,2020-01-21,0,1,314,0.07375426421786062,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,Australia,2020-01-23,0,0,5,0.10349635856000473,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Australia,2020-01-25,0,1,310,0.20459163136991923,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,Australia,2020-01-28,0,1,307,0.3132894754741954,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Australia,2020-01-28,0,1,307,0.3132894754741954,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Australia,2020-01-29,1,0,337,0.372773264044211,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,Australia,2020-01-29,0,1,306,0.372773264044211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Australia,2020-01-30,0,0,45,0.4171859483068364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9,Australia,2020-01-30,0,1,305,0.4171859483068364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10,Australia,2020-02-01,0,0,28,0.5293511826977785,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Australia,2020-02-01,0,0,14,0.5293511826977785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,Australia,2020-02-01,0,0,43,0.5293511826977785,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
13,Australia,2020-02-04,0,1,300,0.6444508551642348,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Australia,2020-02-06,0,1,298,0.7039342436199778,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15,Australia,2020-02-07,0,1,297,0.7328761094168493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16,Australia,2020-02-07,0,1,297,0.7328761094168493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17,Australia,2020-02-18,1,1,286,0.8086309449978913,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,Australia,2020-02-29,0,1,275,0.4762692224899431,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,Australia,2020-03-01,0,1,274,0.41091735799744405,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Australia,2020-03-01,0,0,14,0.41091735799744405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
21,Australia,2020-03-02,0,1,273,0.3681051308253637,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Australia,2020-03-02,0,1,273,0.3681051308253637,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,Australia,2020-03-02,0,1,273,0.3681051308253637,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Australia,2020-03-02,0,1,273,0.3681051308253637,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Australia,2020-03-02,0,1,273,0.3681051308253637,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,Australia,2020-03-05,0,1,270,0.2555397821617854,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Australia,2020-03-05,0,1,270,0.2555397821617854,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Australia,2020-03-05,0,0,10,0.2555397821617854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
29,Australia,2020-03-08,0,1,267,0.1729826038316543,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,Australia,2020-03-10,0,1,265,0.14630858573208505,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,Australia,2020-03-10,1,1,265,0.14630858573208505,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32,Australia,2020-03-11,0,1,264,0.13577197647648168,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,Australia,2020-03-11,0,1,264,0.13577197647648168,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
34,Australia,2020-03-11,0,1,264,0.13577197647648168,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35,Australia,2020-03-11,0,1,264,0.13577197647648168,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
