,Country,unemployment_rate,quarter,year,GDP_growth_rate_change_quart,GDP_growth_rate_change_year,GDP_per_capita
0,Australia,5.025599,Q1,2019,1.6999041119999998,0.443935576,53553.3
1,Australia,5.2298160000000005,Q2,2019,1.557471399,0.758092607,54425.3
2,Australia,5.23174,Q3,2019,1.824480074,0.505938362,54884.4
3,Australia,5.164823999999999,Q4,2019,2.279479365,0.552559011,55265.8
4,Australia,5.1904449999999995,Q1,2020,1.560467314,-0.26217283,55165.8
5,Australia,6.956032,Q2,2020,-6.25651874,-6.997135639,50912.7
6,Australia,7.066892,Q3,2020,,,
7,Austria,4.766667,Q1,2019,2.334226768,0.800275051,58526.7
8,Austria,4.5,Q2,2019,1.5643960209999999,-0.317891968,58827.2
9,Austria,4.433333,Q3,2019,1.647826781,0.309108452,59226.1
10,Austria,4.233333,Q4,2019,0.249999277,-0.536193235,59088.0
11,Austria,4.5,Q1,2020,-3.0152777960000003,-2.482925243,57813.2
12,Austria,5.433333,Q2,2020,-14.464515964,-12.085561864,50477.1
13,Austria,5.5,Q3,2020,-5.2964254760000005,11.060704628,
14,Belgium,5.533333,Q1,2019,1.848108043,0.158868493,53908.9
15,Belgium,5.466667,Q2,2019,1.682255012,0.311794723,54638.8
16,Belgium,5.233333,Q3,2019,1.849579724,0.506898702,55243.8
17,Belgium,5.2,Q4,2019,1.5959474919999999,0.609525864,55804.4
18,Belgium,5.033333,Q1,2020,-2.0311976,-3.416970477,54057.4
19,Belgium,5.033333,Q2,2020,-13.876916682000001,-11.817223002999999,47419.2
20,Belgium,5.1,Q3,2020,-5.142582303999999,10.699994754,
21,Canada,5.766667,Q1,2019,1.537688781,0.28664824899999997,50846.4
22,Canada,5.566667,Q2,2019,1.953217679,0.801419222,51537.9
23,Canada,5.633333,Q3,2019,1.619975468,0.279160226,51648.4
24,Canada,5.7,Q4,2019,1.514250534,0.13976337,51669.9
25,Canada,6.3,Q1,2020,-0.9094600509999999,-2.107752631,50632.9
26,Canada,13.0,Q2,2020,-13.013587677,-11.511696074000001,44462.8
27,Canada,10.03333,Q3,2020,-4.581312689,10.000005493,
28,Czech Republic,2.1,Q1,2019,2.449348608,0.5250393010000001,42537.2
29,Czech Republic,1.9666669999999997,Q2,2019,2.373962569,0.5339971020000001,43171.8
30,Czech Republic,2.0,Q3,2019,2.2829409430000003,0.462778435,43595.4
31,Czech Republic,2.0333330000000003,Q4,2019,1.9682439630000002,0.432102317,43969.5
32,Czech Republic,2.0333330000000003,Q1,2020,-1.911775389,-3.300064307,42766.3
33,Czech Republic,2.433333,Q2,2020,-10.891799297999999,-8.669938449,38900.9
34,Czech Republic,2.766667,Q3,2020,-5.803014192000001,6.2,
35,Denmark,5.266667,Q1,2019,2.032190719,0.185592273,58459.7
36,Denmark,4.933333,Q2,2019,2.77432713,1.24314668,59642.4
37,Denmark,4.9,Q3,2019,2.435022707,0.20123746399999998,59944.0
38,Denmark,5.066667,Q4,2019,2.0417051969999997,0.40000112299999996,60546.6
39,Denmark,4.866667,Q1,2020,0.22306512399999998,-1.599967195,59763.9
40,Denmark,5.466667,Q2,2020,-7.739035587,-6.7999931810000005,55320.7
41,Denmark,6.2,Q3,2020,-3.412500807,4.900127635,
42,Finland,6.6,Q1,2019,0.812448361,0.34068881799999995,50636.6
43,Finland,6.6,Q2,2019,1.879395599,0.913224189,51591.7
44,Finland,6.733333,Q3,2019,1.440531405,-0.189500145,51756.9
45,Finland,6.766667,Q4,2019,0.44641983,-0.612201407,51674.1
46,Finland,6.7,Q1,2020,-1.403008957,-1.50679324,50892.4
47,Finland,7.733333,Q2,2020,-6.096877115,-3.89091197,49158.8
48,Finland,8.5,Q3,2020,-2.840149563,3.272105762,
49,France,8.666667,Q1,2019,1.7618994940000001,0.524885214,48265.1
50,France,8.5,Q2,2019,1.8231091830000001,0.29541027,49103.0
51,France,8.466666,Q3,2019,1.590049883,0.138151726,49570.3
52,France,8.233334,Q4,2019,0.781256776,-0.17816400000000002,49760.1
53,France,7.766667,Q1,2020,-5.654380337,-5.894380657,46989.9
54,France,7.1,Q2,2020,-18.903388416,-13.789130228,40241.7
55,France,7.5,Q3,2020,-3.897788499,18.667076819000002,48308.2
56,Germany,3.266667,Q1,2019,1.095978615,0.612222858,55941.9
57,Germany,3.066667,Q2,2019,0.11493705,-0.503593062,56177.1
58,Germany,3.0333330000000003,Q3,2019,0.7555132259999999,0.309311452,56631.1
59,Germany,3.2,Q4,2019,0.39641675299999996,-0.018690252,56841.0
60,Germany,3.6,Q1,2020,-2.107617073,-1.897193488,55954.2
61,Germany,4.2,Q2,2020,-11.247542065,-9.793281077,50162.5
62,Germany,4.5,Q3,2020,-4.017946001,8.480305474,54850.5
63,Greece,18.33333,Q1,2019,1.720354894,0.619210546,30903.4
64,Greece,17.3,Q2,2019,2.818500195,0.854915137,31360.4
65,Greece,16.96667,Q3,2019,2.162884352,0.21218347199999998,31542.9
66,Greece,16.6,Q4,2019,0.78292557,-0.896620981,31381.6
67,Greece,15.866670000000001,Q1,2020,-0.5267773020000001,-0.688364803,31316.7
68,Greece,16.96667,Q2,2020,-15.225491743,-14.047965833,26790.9
69,Hungary,3.433333,Q1,2019,5.110692048,1.620536715,33714.9
70,Hungary,3.433333,Q2,2019,4.747501951,0.752324678,34299.9
71,Hungary,3.4666669999999997,Q3,2019,4.4441257389999995,0.959459277,34823.3
72,Hungary,3.4666669999999997,Q4,2019,4.023269553,0.634507203,35215.5
73,Hungary,3.566667,Q1,2020,2.004612145,-0.35149368,35237.3
74,Hungary,4.6,Q2,2020,-13.520970665,-14.582654077,29971.6
75,Iceland,3.1,Q1,2019,1.862685903,-1.6185129319999998,58932.0
76,Iceland,3.3666669999999996,Q2,2019,1.62910606,0.464414159,59679.7
77,Iceland,3.4666669999999997,Q3,2019,1.31610605,-0.5294124,59426.1
78,Iceland,3.5333330000000003,Q4,2019,2.930480922,4.6944548,62374.8
79,Iceland,3.733333,Q1,2020,-1.312603647,-5.674075152,58848.2
80,Iceland,4.3,Q2,2020,-10.727290193,-9.119798246,53536.0
81,Iceland,5.2,Q3,2020,,,
